Beta,Plaq,Poly,V,Lt
7.495,0.5905154899680465,0.0915164068,552960.0,5.0
7.495,0.5905013039490095,0.0898419558,552960.0,5.0
7.495,0.590576986114422,0.0894502129,552960.0,5.0
7.495,0.5906513734226447,0.0905162001,552960.0,5.0
7.495,0.5905992823711024,0.0904439932,552960.0,5.0
7.495,0.5905775082562779,0.0924554026,552960.0,5.0
7.495,0.5906089815609813,0.0904537699,552960.0,5.0
7.495,0.5907464306047313,0.0919168103,552960.0,5.0
7.495,0.5906963048047122,0.0900347885,552960.0,5.0
7.495,0.5906283501449705,0.090833457,552960.0,5.0
7.495,0.590495683197897,0.0893231266,552960.0,5.0
7.495,0.5906081137264794,0.0899373482,552960.0,5.0
7.495,0.5906723792893943,0.0907789779,552960.0,5.0
7.495,0.5906316431618114,0.0913180346,552960.0,5.0
7.495,0.5905961018162091,0.0895873374,552960.0,5.0
7.495,0.5905135324004832,0.0885604642,552960.0,5.0
7.495,0.5905059266162599,0.090222737,552960.0,5.0
7.495,0.5907743565953163,0.0900403105,552960.0,5.0
7.495,0.5905201899642564,0.090186115,552960.0,5.0
7.495,0.5906350908148362,0.0899333586,552960.0,5.0
7.495,0.5906381624706907,0.089108616,552960.0,5.0
7.495,0.5906423989688095,0.0905647354,552960.0,5.0
7.495,0.590679907178535,0.0901048188,552960.0,5.0
7.495,0.5907353310773886,0.0882860556,552960.0,5.0
7.495,0.590691749566304,0.0863978942,552960.0,5.0
7.495,0.5906075332293553,0.0878156258,552960.0,5.0
7.495,0.5905151155732586,0.0881401683,552960.0,5.0
7.495,0.5903829382582042,0.0856070452,552960.0,5.0
7.495,0.5904502432937355,0.0878188553,552960.0,5.0
7.495,0.5904448635853021,0.0865220663,552960.0,5.0
7.495,0.590381791914768,0.0840908639,552960.0,5.0
7.495,0.5906037438070261,0.0860320077,552960.0,5.0
7.495,0.5905756781086822,0.0876967257,552960.0,5.0
7.495,0.5905797460714937,0.0858253901,552960.0,5.0
7.495,0.5907644176387086,0.0854439374,552960.0,5.0
7.495,0.590682992449097,0.0837992534,552960.0,5.0
7.495,0.5907008535276504,0.0864096459,552960.0,5.0
7.495,0.5909156942029041,0.0860162246,552960.0,5.0
7.495,0.5907304834033881,0.0882513142,552960.0,5.0
7.495,0.5906430983937795,0.088401332,552960.0,5.0
7.495,0.5906581091355548,0.0899591142,552960.0,5.0
7.495,0.5905980938547434,0.0876543743,552960.0,5.0
7.495,0.5904912539771454,0.0881603523,552960.0,5.0
7.495,0.5905560762494272,0.0865248272,552960.0,5.0
7.495,0.5904501416137876,0.0873646759,552960.0,5.0
7.495,0.5906207744858474,0.0862043854,552960.0,5.0
7.495,0.5906665276348976,0.0879821166,552960.0,5.0
7.495,0.5906334231553331,0.0888910955,552960.0,5.0
7.495,0.5906271885633229,0.0898284358,552960.0,5.0
7.495,0.5906009300460798,0.0869537135,552960.0,5.0
7.495,0.5906969262672195,0.0874045403,552960.0,5.0
7.495,0.5906620766586753,0.0863308017,552960.0,5.0
7.495,0.5904031735272476,0.0849008643,552960.0,5.0
7.495,0.5902359107143155,0.0837831958,552960.0,5.0
7.495,0.5903078141559946,0.0846937277,552960.0,5.0
7.495,0.5902760600578388,0.0830429541,552960.0,5.0
7.495,0.5903207280021722,0.0839272063,552960.0,5.0
7.495,0.5902079266765282,0.0844074822,552960.0,5.0
7.495,0.5903186966928103,0.0832403185,552960.0,5.0
7.495,0.5903539920759303,0.0854409137,552960.0,5.0
7.495,0.590303774455688,0.0852442458,552960.0,5.0
7.495,0.5903444745534769,0.0844111421,552960.0,5.0
7.495,0.5904635056609139,0.0846685453,552960.0,5.0
7.495,0.5903261766654894,0.0855499164,552960.0,5.0
7.495,0.5903796202696606,0.0853374971,552960.0,5.0
7.495,0.5905378479024339,0.0864980456,552960.0,5.0
7.495,0.5903485235800467,0.0842470751,552960.0,5.0
7.495,0.5902199701728307,0.0857704967,552960.0,5.0
